policy_idx,tau_replace,safety_stock,order_qty,expected_profit,cvar_profit,expected_profit_ci_low,expected_profit_ci_high,cvar_profit_ci_low,cvar_profit_ci_high,std_profit,se_expected_profit,se_cvar_profit,p5_profit,p50_profit,p95_profit,n_samples,robust_score
0,0.41331845611703827,3.550685920763024,28.25615191359121,43421.58605243018,41514.96480493582,43347.30415477255,43491.52967692405,40921.14421991737,41948.31131126835,688.8801815121399,39.772515823543216,278.69023978688324,42246.72542663831,43530.55236504019,44246.24334389501,300,84268.44837468992
1,0.5857515957466711,0.6069888904538554,39.22013900397459,43459.82853922039,42225.325568430206,43401.70320496074,43514.98362765677,41900.23706055052,42540.89036626783,510.81476798819887,29.491904380402282,170.78203868244947,42644.66635786726,43495.81144831066,44161.908358459885,300,85301.94026551125
2,0.44101293352999804,0.8080927144906052,30.572904255898294,43441.16860104447,42025.933120142436,43371.86199203727,43499.19556322617,41839.937339496384,42306.00735206432,545.1454126517008,31.473985074194903,122.15457163395779,42445.839970022105,43488.09105896788,44238.11608313794,300,85211.79933153366
