model,mean_profit,std_profit
weibull_aft,44402.67298765497,519.3138703566717
catboost_ensemble,42642.402469651366,761.3813457001222
weibull_aft_isotonic,43499.57323370635,510.23963498917385
catboost_ensemble_isotonic,43361.968524692566,502.1986617322499
