expected_profit,CVaR_0.95
220.00867663373705,220.00867663373705
219.82699204950018,219.82699204950018
219.24141793527656,219.24141793527656
218.9842917396362,218.9842917396362
218.71712469087655,218.71712469087655
218.31841390553794,218.31841390553794
218.12384428971393,218.12384428971393
217.58367442443924,217.58367442443924
217.4873924813441,217.4873924813441
217.1694369892396,217.1694369892396
216.88580228396415,216.88580228396415
216.58000332437877,216.58000332437877
216.38658659354445,216.38658659354445
215.80073670698997,215.80073670698997
215.30858288553347,215.30858288553347
214.58316835170587,214.58316835170587
214.1620872331452,214.1620872331452
213.52277597077656,213.52277597077656
213.14019540458628,213.14019540458628
212.90237750128435,212.90237750128435
212.52404693741948,212.52404693741948
212.21254629985833,212.21254629985833
211.93320940722052,211.93320940722052
211.41146365265857,211.41146365265857
211.0092476175097,211.0092476175097
210.79325758406176,210.79325758406176
210.43870495001886,210.43870495001886
209.92258901935796,209.92258901935796
209.58656301751083,209.58656301751083
208.87074151555814,208.87074151555814
208.52038799044104,208.52038799044104
208.04356628746658,208.04356628746658
206.87449385661068,206.87449385661068
206.45706704344502,206.45706704344502
206.07182158262682,206.07182158262682
205.8681177485049,205.8681177485049
205.5331556900598,205.5331556900598
205.4184495174198,205.4184495174198
204.76049428968815,204.76049428968815
204.342716943763,204.342716943763
203.95659414182552,203.95659414182552
202.98114141500008,202.98114141500008
202.83577812243297,202.83577812243297
202.51272148588654,202.51272148588654
202.23015554130924,202.23015554130924
201.84844283268507,201.84844283268507
200.91088504690973,200.91088504690973
200.1406068020677,200.1406068020677
199.76794195466843,199.76794195466843
199.42048484834532,199.42048484834532
198.940870456558,198.940870456558
198.30412607241652,198.30412607241652
197.35917349274106,197.35917349274106
197.02568232719412,197.02568232719412
196.92764865467348,196.92764865467348
196.5442558202166,196.5442558202166
196.43688380501501,196.43688380501501
196.05143560522762,196.05143560522762
195.77416004329294,195.77416004329294
195.38466281330932,195.38466281330932
194.97351788243267,194.97351788243267
194.60600242658634,194.60600242658634
194.18405849991993,194.18405849991993
193.73312959981064,193.73312959981064
193.5661245731738,193.5661245731738
193.35003519234226,193.35003519234226
192.956673024808,192.956673024808
192.44249074287242,192.44249074287242
191.39268350418078,191.39268350418078
191.29230607365946,191.29230607365946
190.7437872225469,190.7437872225469
190.42624590241766,190.42624590241766
189.71060792024815,189.71060792024815
189.5563144228857,189.5563144228857
189.00529499246178,189.00529499246178
188.555264952973,188.555264952973
188.21984071404304,188.21984071404304
187.89357560372858,187.89357560372858
187.4975998387216,187.4975998387216
187.3399004672451,187.3399004672451
186.71240661533932,186.71240661533932
186.4153188435734,186.4153188435734
186.0801993414218,186.0801993414218
185.68891433458768,185.68891433458768
185.55102039622838,185.55102039622838
185.26657469770814,185.26657469770814
185.020669814397,185.020669814397
184.62890191447062,184.62890191447062
183.80959448787686,183.80959448787686
183.38970276481243,183.38970276481243
182.64198404485177,182.64198404485177
182.38078257714685,182.38078257714685
181.9312379063851,181.9312379063851
181.61307235241813,181.61307235241813
180.43466507740897,180.43466507740897
180.310489373055,180.310489373055
179.72322484144945,179.72322484144945
179.70497259058448,179.70497259058448
179.3047357395095,179.3047357395095
179.1217394803387,179.1217394803387
178.82378247398728,178.82378247398728
178.27942598316167,178.27942598316167
177.9499091004115,177.9499091004115
177.5988971621001,177.5988971621001
177.30412710729684,177.30412710729684
177.12492976743826,177.12492976743826
176.75808930737185,176.75808930737185
176.2428258827449,176.2428258827449
176.059232104786,176.059232104786
175.6790747705125,175.6790747705125
175.14812950277056,175.14812950277056
174.53424380081844,174.53424380081844
174.18742871397262,174.18742871397262
173.61613225287704,173.61613225287704
173.2665994121697,173.2665994121697
172.84513759987556,172.84513759987556
